id,english,portuguese
001,"Good morning! How are you today?","Bom dia! Como você está hoje?"
002,"I'm fine, thank you. And you?","Estou bem, obrigado(a). E você?"
003,"My name is John.","Meu nome é John."
004,"Nice to meet you.","Prazer em conhecer você."
005,"Where are you from?","De onde você é?"
006,"I'm from Brazil.","Eu sou do Brasil."
007,"What do you do for a living?","O que você faz da vida?"
008,"I work from home.","Eu trabalho em casa."
009,"I study English every day.","Eu estudo inglês todos os dias."
010,"I want to speak English fluently.","Eu quero falar inglês fluentemente."